ScientificName
Columbella adansoni
Conomurex persicus
Corambe obscura
Corbicula fluminea
Cordylophora caspia
Corella eumyota
Cornuspiroides striolata
Corymbellus aureus
Corynomorpha prismatica
Corynophlaea crispa
Corynophlaea cystophorae
Corynophlaea verruculiformis
Coryphellina rubrolineata
Crambe crambe
Crassostrea rhizophorae
Crassostrea virginica
Craterolophus convolvulus
Crepidacantha poissonii
Crepidula fornicata
Crepipatella dilatata
Crisularia plumosa
Crisularia serrata
Crithe cossinea
Cronius ruber
Cryptonemia hibernica
Cryptorchestia cavimana
Crystallogobius linearis
Ctenopharyngodon idella
Cushmanina striatopunctata
Cuthona perca
Cutleria multifida
Cyclopterus lumpus
Cyclorbiculina compressa
Cycloscala hyalina
Cymadusa filosa
Cymbium olla
Cymodoce fuscina
Cynoscion regalis
Cyprinus carpio
Daira perlata
Dasya sessilis
Dasysiphonia japonica
Dendostrea folium
Dendostrea frons
Dentex gibbosus
Derbesia rhizophora
Desdemona ornata
Desmacella meliorata
Desmarestia viridis
Diadema setosum
Diadumene cincta
Diadumene leucolena
Diadumene lineata
Diamysis bahirensis
Diamysis lagunaris
Diastylis lucifera
Dicentrarchus labrax
Dicroerisma psilonereiella
Dictyota cyanoloma
Didemnum ahu
Didemnum candidum
Didemnum perlucidum
Didemnum vexillum
Dikerogammarus haemobaphes
Dikoleps micalii
Dinobryon faculiferum
Dinophysis caudata
Dinophysis sacculus
Dinophysis tripos
Diodon hystrix
Diodora funiculata
Dioithona oculata
Diplodus vulgaris
Diplogrammus randalli
Diplosoma listerianum
Dipolydora quadrilobata
Dipolydora socialis
Dipterosiphonia dendritica
Dispio magna
Dissodinium pseudocalani
Distaplia bermudensis
Distaplia corolla
Distaplia magnilarva
Dodecaceria capensis
Dorvillea similis
Dreissena bugensis
Dreissena polymorpha
Dussumieria elopsoides
Dyspanopeus sayi
Ecteinascidia styeloides
Ecteinascidia turbinata
Ectocarpus siliculosus
Ectopleura crocea
Elachista flaccida
Elates ransonnettii
Electroma vexillum
Elphidium striatopunctatum
Ensis leei
Eocuma dimorphum
Eocuma sarsii
Epinephelus coioides
Epinephelus fasciatus
Epinephelus malabaricus
Epinephelus merra
Equulites klunzingeri
Eratoena sulcifera
Ergalatax junionae
Ericthonius didymus
Erinaceusyllis serratosetosa
Eriocheir sinensis
Erugosquilla massavensis
Ervilia scaliola
Escharina vulgaris
Etrumeus golanii
Euapta lappa
Euchaeta concinna
Eucheilota menoni
Eucheilota paradoxica
Euchone incolor
Eucidaris tribuloides
Eudendrium carneum
Eudendrium merulum
Eudistoma angolanum
Eunaticina papilla
Eurycarcinus integrifrons
Eurypanopeus depressus
Eurytemora americana
Eurytemora carolleeae
Eurytemora pacifica
Eurythoe laevisetis
Eusarsiella zostericola
Eusyllis kupfferi
Euthymella colzumensis
Evadne anonyx
Exaiptasia diaphana
Exogone africana
Favorinus ghanensis
Faxonius limosus
Fenestrulina delicia
Fenestrulina malusii
Ferosagitta galerita
Fibrocapsa japonica
Ficopomatus enigmaticus
Finella pupoides
Fistularia commersonii
Fistularia petimba
Fistulobalanus albicostatus
Fucus distichus
Fucus spiralis
Fulvia fragilis
Fundulus heteroclitus
Gafrarium savignyi
Gammarus tigrinus
Gelidium vagum
Gibbula ardens
Glabropilumnus laevis
Glycinde bonhourei
Gnatholepis thompsoni
Gobiosoma bosc
Gobius cruentatus
Godiva quadricolor
Goniadella gracilis
Goniobranchus annulatus
Goniobranchus obsoletus
Gonioinfradens giardi
Gonionemus vertens
Goniotrichopsis sublittoralis
Gracilaria vermiculophylla
Gracilariopsis chorda
Grallatoria reptans
Grandidierella japonica
Grateloupia asiatica
Grateloupia filicina
Grateloupia minima
Grateloupia patens
Grateloupia subpectinata
Grateloupia turuturu
Grateloupia yinggehaiensis
Griffithsia corallinoides
Guinearma alberti
Gymnodinium catenatum
Gymnodinium fuscum
Gymnodinium nolleri
Gymnodinium pulchrum
Gymnodinium uberrimum
Gymnophycus hapsiphorus
Gyrodactylus salaris
Gyrodinium cochlea
Gyrodinium corallinum
Gyrodinium flagellare
Gyrodinium varians
Halgerda willeyi
Halimeda incrassata
Haliotis tuberculata
Haloa japonica
Halophila stipulacea
Halothrix lumbricalis
Haminella solitaria
Haplosporidium nelsoni
Hazeus ingressus
Heleobia charruana
Hemigrapsus sanguineus
Hemigrapsus takanoi
Hemimysis anomala
Hemiramphus far
Heniochus acuminatus
Heniochus intermedius
Herbstia nitida
Herdmania momus
Herposiphonia parca
Hesionura serrata
