B - Habitats - benthic	HabBenCircalitMxdSed	Circalittoral mixed sediment 	16	Shallow sublittoral mixed sediment	Shallow sublittoral mixed sediment	-	y
B - Habitats - benthic	HabBenCircalitSand	Circalittoral sand 	17	Shallow sublittoral sand	Shallow sublittoral sand	-	y
B - Habitats - benthic	HabBenCircalitMud	Circalittoral mud 	18	Shallow sublittoral mud	Shallow sublittoral mud	-	y
B - Habitats - benthic	HabBenOffshRock	Offshore circalittoral rock and biogenic reef 	19	Shelf sublittoral rock and biogenic reef	Shelf sublittoral rock and biogenic reef	-	y
B - Habitats - benthic	HabBenOffshCoarSed	Offshore circalittoral coarse sediment 	20	Shelf sublittoral coarse sediment	Shelf sublittoral coarse sediment	-	y
B - Habitats - benthic	HabBenOffshMxdSed	Offshore circalittoral mixed sediment 	21	Shelf sublittoral mixed sediment	Shelf sublittoral mixed sediment	-	y
B - Habitats - benthic	HabBenOffshSand	Offshore circalittoral sand 	22	Shelf sublittoral sand	Shelf sublittoral sand	-	y
B - Habitats - benthic	HabBenOffshMud	Offshore circalittoral mud 	23	Shelf sublittoral mud	Shelf sublittoral mud	-	y
B - Habitats - benthic	HabBenBathyalUpRock	Upper bathyal rock and biogenic reef	24	Y	Y	-	y
B - Habitats - benthic	HabBenBathyalUpSed	Upper bathyal sediment	25	Y	Y	-	y
B - Habitats - benthic	HabBenBathyalLowRock	Lower bathyal rock and biogenic reef	26	Y	Y	-	y
B - Habitats - benthic	HabBenBathyalLowSed	Lower bathyal sediment	27	Y	Y	-	y
B - Habitats - benthic	HabBenAbyssal	Abyssal 	28	Abyssal rock and biogenic reef	Abyssal rock and biogenic reef	-	y
B - Habitats - benthic	HabBenAbyssal	Abyssal 	28	Abyssal sediment	Abyssal sediment	-	y
C - Habitats - pelagic	HabPelagAll	Pelagic habitats (all)	29	Water column habitats - all	Water column habitats - all	Y	y
C - Habitats - pelagic	HabPelagBroad	Pelagic broad habitats	30				Y
C - Habitats - pelagic	HabPelagOther	Pelagic other habitats	31				Y
C - Habitats - pelagic	HabPelagVarSalinity	Variable salinity	32	Reduced salinity water	Reduced salinity water	-	-
C - Habitats - pelagic	HabPelagVarSalinity	Variable salinity	32	Variable salinity (estuarine) water	Variable salinity (estuarine) water	-	y
C - Habitats - pelagic	HabPelagCoastal	Coastal	33	Marine water: coastal	Marine water: coastal	-	y
C - Habitats - pelagic	HabPelagShelf	Shelf	34	Marine water: shelf	Marine water: shelf	-	y
C - Habitats - pelagic	HabPelagOcean	Oceanic/beyond shelf	35	Marine water: oceanic	Marine water: oceanic	-	y
D - Habitats - ice	HabIce-associated	Ice-associated habitats	36	Y	Y	-	-
A - Physical & hydrological characteristics	PhyHydroCharacAll	All physical and hydrological characteristics	2				Y
A - Physical & hydrological characteristics	Temperature	Temperature	3	Physical & chemical features list	Y		y
A - Physical & hydrological characteristics	Ice	Ice	4	Physical & chemical features list: Ice cover	Ice cover		y
A - Physical & hydrological characteristics	Waves	Wave regime	5	Physical & chemical features list: Wave exposure	Wave exposure		y
A - Physical & hydrological characteristics	Currents	Current regime	6	Physical & chemical features list: Current velocity	Current velocity		y
A - Physical & hydrological characteristics	Upwelling	Upwelling	7	Physical & chemical features list	Y		y
A - Physical & hydrological characteristics	Mixing	Mixing	8	Physical & chemical features list: Mixing characteristics	Mixing characteristics		y
A - Physical & hydrological characteristics	ResidenceTime	Residence time	9	Physical & chemical features list	Y		y
A - Physical & hydrological characteristics	FreshwaterInput	Freshwater input	10				Y
A - Physical & hydrological characteristics	SeaLevel	Sea level	11				Y
A - Physical & hydrological characteristics	Bathymetry	Bathymetry	12	Physical & chemical features list: Topography and bathymetry	Topography and bathymetry		y
A - Physical & hydrological characteristics	Turbidity	Turbidity (silt/sediment loads)	13	Physical & chemical features list: Turbidity	Y		y
A - Physical & hydrological characteristics	Transparency	Transparency	14	Physical & chemical features list	Y		y
A - Physical & hydrological characteristics	Sound	Sound	15				Y
A - Physical & hydrological characteristics	SubstrateMorphology	Seabed substrate and morphology	16	Physical & chemical features list: Topography and bathymetry			Y
B - Chemical characteristics	ChemCharacAll	All chemical characteristics	17				Y
B - Chemical characteristics	Salinity	Salinity	18	Physical & chemical features list	Y		y
B - Chemical characteristics	Nutrients	Nutrients (N, P)	19	Physical & chemical features list: Nutrient levels (DIN, TN, DIP, TP, TOC)	Nutrient levels (DIN, TN, DIP, TP, TOC)		y
B - Chemical characteristics	OrganicCarbon	Organic carbon	20				Y
B - Chemical characteristics	pCO2	Dissolved carbon dioxide (pCO2)	21				Y
B - Chemical characteristics	Oxygen	Dissolved Oxygen	22	Physical & chemical features list: Oxygen levels	Oxygen levels		y
B - Chemical characteristics	pH	pH	23	Physical & chemical features list	Y		y
C - Biological characteristics - trophic guild	TrophicGuildAll	All trophic guilds	24				Y
C - Biological characteristics - trophic guild	TrophicGuildPrimProd	Primary producers	25				y
C - Biological characteristics - trophic guild	TrophicGuildSecProd	Secondary producers	26				y
C - Biological characteristics - trophic guild	TrophicGuildFilFeed	Filter-feeders	27				y
C - Biological characteristics - trophic guild	TrophicGuildDepFeed	Deposit-feeders	28				y
C - Biological characteristics - trophic guild	TrophicGuildPlankt	Planktivores	29				y
C - Biological characteristics - trophic guild	TrophicGuildPredSApexPel	Sub-apex pelagic predators	30				y
