"CodeCatalogue","Country","Country","Measure Number","Measure name","Use or activity","Link to existing policies","KTMs it links to","Relevant targets","Descriptors it links to ","Relevant features from MSFD Annex III","Measure Impacts to","Spatial  scope_MSFD","Water body category","Spatial scope","Other (if applicable)","Origin of the measure","Nature of the measure","PORTS","SHIPPING","BOTH","Sector","accident management","administrative","air pollution","anchoring/mooring","awareness raising","ballast waters","construction","dredging","EU policies","hull fouling","international agreements","legislation/regulation","maintenence","marine litter","navigation","NIS","noise","pollution","regional sea convention","PSSA/ZMES","technical measures","waste management","water pollution","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TEST",1,"1b (not related to WFD)","1b (related to WFD)",2,"2a","2b","unknown","TEST","Status Resume","Status (Text)"
"MSFD99","ES","Spain","M006","Guide of best practices on the handling and storage of bulk solid goods in port installations at state-owned ports, 2014","Not specified","Barcelona agreement UNEP/MAP, 
National policies","MSFD29 Litter","B.1.6, 
B.1.5, 
0","D10
","Reptiles, 
Seabed habitats, 
Cephalopods, 
Mammals, 
Birds, 
Fish, 
Water column habitats","Species and Habitats","Terrestrial part of MS","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD100","ES","Spain","M010","State plan on waste management (2016-2022)","Not specified","Barcelona agreement UNEP/MAP, 
Waste Framework Directive (2008/98/EC)","MSFD29 Litter","0, 
B.1.5","D10
","Seabed habitats, 
Mammals, 
Reptiles, 
Cephalopods, 
Water column habitats, 
Birds, 
Fish","Species and Habitats","Terrestrial part of MS","Other","National","NOR/SUD/ESAL/
LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD101","ES","Spain","M060","Regulation of anchorages","Not specified","National policies","MSFD27 Physical damage","0, 
A.1.1","D1, D6","Seabed habitats
","Habitats","Territorial waters","Other","National","LEBA","MSFD (Directive 2008/56/EC)","legislation/regulation",0,1,0,"Traffic",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD102","ES","Spain","M084 ","Good practice guides and manuals for biodiversity to minimize the impact of other human activities (without regard to fisheries) on biodiversity","Not specified","National policies","MSFD35 Extraction of species
","0, A.1.4, A.1.1","D1","Mammals, Seabed habitats, 
Cephalopods, Reptiles, 
Birds, Fish","Species and Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD103","ES","Spain","M161","Regulation of uses in protected marine areas: anchorages","Not specified","Habitats Directive (92/43/EEC), National policies","MSFD38 Spatial protection","A.2.1, 
A.3.6, 
A.1.1, 
A.2.2, 
0","D1, D4, D6  ","Seabed habitats
","Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","legislation/regulation",0,1,0,"Traffic",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD104","ES","Spain","M225","OSPAR Guidelines on the management of 
dredging material in the sea (Agreement 2014-06)","Not specified","OSPAR agreement","MSFD31 Contamination","B.2.1, B.1.5, 
B.1.2, B.3.2, 
B.2.5, B.2.2, 
0, 
B.3.3, 
B.2.3","D1, D8
","Seabed habitats, 
Water column habitats","Habitats","Beyond MS Marine Waters, 
Territorial waters","Other","International","NOR/SUD/","MSFD (Directive 2008/56/EC)","not specified",1,0,0,"Ports",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD105","ES","Spain","M232","OSPAR- Recommendations for the establishment of limit values of emissions of polluting substances into the atmosphere","Not specified","National policies, 
Integrated Pollution Prevention Control Directive (96/61/EC), 
OSPAR agreement","MSFD31 Contamination","B.3.2, 
0, 
B.2.5, 
B.2.1, 
B.2.2, 
B.2.3","D8, D9","Fish, 
Cephalopods, 
Birds, 
Reptiles, 
Seabed habitats, 
Mammals, 
Water column habitats","Species and Habitats","Beyond MS Marine Waters","Other","International","NOR/SUD/","MSFD (Directive 2008/56/EC)","not specified",0,0,1,"Ports and traffic",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD106","ES","Spain","M242","UNEP/MAP Regional Strategy for the prevention of and answers to pollution stemming from ships ","Not specified","Barcelona agreement UNEP/MAP","MSFD31 Contamination","0, B.2.1, 
B.1.2, B.2.4, 
B.2.5, B.2.3, 
B.2.2","D8
","Mammals, 
Seabed habitats, 
Fish, 
Reptiles, 
Water column habitats, 
Birds, 
Cephalopods","Species and Habitats","Territorial waters, 
Beyond MS Marine Waters","Other","International","ESAL/LEBA/","MSFD (Directive 2008/56/EC)","not specified",0,0,1,"Ports and traffic",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD107","ES","Spain","M246","Measures deriving from the implementation of the Directive on pollution from ships (2009)","Not specified","MARPOL agreement","MSFD31 Contamination","B.1.2, 0, 
B.2.4, B.2.3, 
B.3.2, B.2.5, 
B.2.1, 
B.1.8, 
B.2.2","D8, D9","Mammals, 
Fish, 
Water column habitats, 
Birds, 
Cephalopods, 
Reptiles, 
Seabed habitats","Species and Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD108","ES","Spain","M250","Contingency plans and autonomous response systems to accidental marine contamination ","Not specified","MARPOL agreement","MSFD32 Accidental pollution","B.3.2, 
B.2.4, 
0","D8, D9
","Birds, 
Water column habitats, 
Seabed habitats, 
Reptiles, 
Cephalopods, 
Fish, 
Mammals","Species and Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD109","ES","Spain","M251","National system of response to accidental marine pollution ","Not specified","MARPOL agreement","MSFD32 Accidental pollution","0, 
B.2.4, 
B.3.2","D8, D9
","Reptiles, 
Water column habitats, 
Fish, 
Cephalopods, 
Birds, 
Seabed habitats, 
Mammals","Species and Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD110","ES","Spain","M287","Control of anchoring of vessels (measure included in the Hydrological Plans)","Not specified","Urban Waste Water Treatment Directive (91/271/EEC), 
National policies","MSFD27 Physical damage","A.1.3, 
C.1.5, 
A.1.1, 
0, 
A.1.2","D6
","Seabed habitats
","Habitats","Coastal waters (WFD)","Coastal","National","LEBA","MSFD (Directive 2008/56/EC)","administrative",0,1,0,"Traffic",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD111","ES","Spain","M290","Waste management MARPOL in port installations","Not specified","Barcelona agreement UNEP/MAP, 
Water Framework Directive (2000/60/EC), 
National policies","MSFD29 Litter","B.2.2, B.1.8, 
B.2.4, B.1.7, 
B.1.2, B.1.6, 
B.1.4, B.1.3, 
B.2.1, B.2.3, 
B.1.5, 0, 
B.2.5","D8, D10
","Fish, 
Mammals, 
Birds, 
Cephalopods, 
Water column habitats, 
Seabed habitats, 
Reptiles","Species and Habitats","Terrestrial part of MS","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","not specified",1,0,0,"Ports",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD112","ES","Spain","M291","Implementation and application of environmental management systems in port installations and application of sectorial recommendations (ROM
5.1); (measure included in the hydrological plans)","Not specified","Water Framework Directive (2000/60/EC)","WFD99 Other key type measure reported under PoM","B.1.5, 
B.1.4, 
B.1.6, 
B.1.7, 
B.1.2, 
A.1.2, 
0, 
B.1.3, 
B.1.1, 
B.2.3, 
B.2.5, 
B.2.4, 
B.2.1, 
B.1.8, 
B.2.2","D8","Mammals, 
Fish, 
Water column habitats, 
Cephalopods, 
Reptiles","Species and Habitats","Terrestrial part of MS","Other","National","NOR/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD113","ES","Spain","M296","Reduction of port contamination (measure included in the hydrological plans) ","Not specified","Water Framework Directive (2000/60/EC)","WFD99 Other key type measure reported under PoM","B.2.1, 0, 
B.2.3, B.2.5, 
B.1.1, B.2.4, 
B.2.2, B.1.4, 
B.1.2, B.1.3","D8","Birds, 
Fish, 
Cephalopods, 
Reptiles, 
Seabed habitats, 
Water column habitats, 
Mammals ","Species and Habitats","Coastal waters (WFD), 
Terrestrial part of MS","Other","National","NOR/SUD/LEBA","MSFD (Directive 2008/56/EC)","administrative, technical measure",1,0,0,"Ports",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD114","ES","Spain","M299","Projects to innovate and develop tools for the management of dredged materials ","Not specified","OSPAR agreement","WFD14 Research and knowledge","B.3.2, A.3.6, 
B.2.1, B.2.2, 
B.1.2, 0, 
B.2.3, A.1.1, 
B.2.5","D6, D8
","Seabed habitats, 
Water column habitats","Habitats","Coastal waters (WFD)","Coastal","National","NOR/SUD/
LEBA/CAN/","MSFD (Directive 2008/56/EC)","technical measure",1,0,0,"Ports",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD115","ES","Spain","M305","OSPAR Action plan for the prevention and management of marine waste in the north-eastern Atlantic (OSPAR Agreement 2014-1)","Not specified","OSPAR agreement","MSFD29 Litter","B.1.7, 
B.1.9, 
B.1.8, 
0, 
B.1.6, 
C.1.3, 
B.3.3","D10
","Cephalopods, 
Seabed habitats, 
Birds, 
Fish, 
Mammals, 
Reptiles, 
Water column habitats","Species and Habitats","Beyond MS Marine Waters","Other","International","NOR/SUD/","MSFD (Directive 2008/56/EC)","not specified",0,0,1,"Ports and traffic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD116","ES","Spain","M306","UNEP/MAP Regional plan on marine waste management in the Mediterranean (2013)","Not specified","Waste Framework Directive (2008/98/EC), 
Barcelona agreement UNEP/MAP","MSFD29 Litter","B.1.8, 
B.3.3, 
C.1.3, 
B.1.7, 
0","D10
","Birds, 
Reptiles, 
Mammals, 
Cephalopods, 
Water column habitats, 
Fish, 
Seabed habitats","Species and Habitats","Beyond MS Marine Waters","Other","International","ESAL/LEBA/","MSFD (Directive 2008/56/EC)","not specified",0,0,1,"Ports and traffic",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD117","ES","Spain","M307","Reception and handling plans of freight waste in ports","Not specified","Barcelona agreement UNEP/MAP, 
National policies","MSFD29 Litter","B.1.6, 
0, 
B.2.4, 
B.1.8, 
B.1.7","D10
","Fish, 
Seabed habitats, 
Water column habitats, 
Birds, 
Mammals, 
Cephalopods, 
Reptiles","Species and Habitats","Terrestrial part of MS","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD118","ES","Spain","M308","Establishment and application of environmental management systems in port installations ","Not specified","National policies","MSFD29 Litter
","0, B.2.1, 
B.1.8, A.1.1, 
B.1.3, B.1.5, 
B.1.6, B.1.7, 
B.1.2, B.1.9, 
B.2.5, B.2.4, 
B.1.1, B.2.2, 
C.3.10, B.1.4, 
B.2.3","D8, D9, D10
","Water column habitats
","Habitats","Coastal waters (WFD), 
Terrestrial part of MS","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD119","ES","Spain","M309","Barcelona agreement - The Protocol for the Prevention of Pollution in the Mediterranean Sea by Dumping from Ships and Aircraft or Incineration at Sea (""Barcelona Dumping Protocol"")","Not specified","Barcelona agreement UNEP/MAP","MSFD32 Accidental pollution","B.1.2, 
B.2.4, 
B.1.8, 
B.2.1, 
B.3.2, 
B.2.3, 
0, 
B.2.5, 
B.2.2","D5, D8, D9
","Mammals, 
Seabed habitats, 
Cephalopods, 
Reptiles, 
Water column habitats, 
Birds, 
Fish","Species and Habitats","Beyond MS Marine Waters","Other","International","ESAL/LEBA/","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD120","ES","Spain","M311","Barcelona Agreement – Protocol for the protection of the Mediterranean Sea against pollution from land-based sources
(""COT Protocol or LBS"")","Not specified","Barcelona agreement UNEP/MAP","WFD21 Urban and transport pollution
","B.1.8, 
B.1.5, 
B.1.7, 
B.2.4, 
B.1.4, 
B.2.2, 
B.2.5, 
B.2.3, 
B.1.6, 
0, 
B.2.1, 
B.1.1, 
B.1.3","D5, D8, D9","Mammals, 
Birds, 
Seabed habitats, 
Fish, 
Cephalopods, 
Reptiles, 
Water column habitats","Species and Habitats","Terrestrial part of MS","Other","National","ESAL/LEBA","MSFD (Directive 2008/56/EC)","not specified",1,0,0,"Ports",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD121","ES","Spain","M312","Barcelona agreement – Protocol Concerning Cooperation in Preventing Pollution from Ships and, in Cases of Emergency, Combating Pollution of the Mediterranean Sea
(""Emergency Protocol"")","Not specified","Barcelona agreement UNEP/MAP","MSFD32 Accidental pollution","B.2.3, 
B.2.5, 
B.2.4, 
0, 
B.1.2, 
B.2.1, 
B.2.2","D8, D9
","Birds, 
Seabed habitats, 
Water column habitats, 
Reptiles, 
Fish, 
Mammals, 
Cephalopods","Species and Habitats","Beyond MS Marine Waters","Other","International","ESAL/LEBA/","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD122","ES","Spain","M338","International agreement for the Control and Management of Ships' Ballast waters and Sediments","Not specified","Ballast waters agreement","MSFD34 Non-indigenous species","C.1.4, 
A.1.2, 
0","D2
","waters column habitats, 
Seabed habitats, 
Cephalopods, 
Fish","Species and Habitats","Territorial waterss, 
Beyond MS Marine waterss","Other","International","NOR/SUD/ESAL/LEBA/CAN 
","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD123","ES","Spain","M339","UNEP/MAP Action Plan on the introduction of species and invasive species in the Mediterranean (2003)","Not specified","Birds Directive (79/409/EEC), 
Water Framework Directive (2000/60/EC), 
Barcelona agreement UNEP/MAP, 
Habitats Directive (92/43/EEC)","MSFD34 Non-indigenous species","C.3.6, 
C.1.4, 
0, 
A.1.2","D2
","Fish, 
Seabed habitats, 
Water column habitats, 
Cephalopods","Species and Habitats","Territorial waters, 
Beyond MS Marine Waters","Other","International","ESAL/LEBA
","MSFD (Directive 2008/56/EC)","not specified",0,0,1,"Ports and traffic",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD124","ES","Spain","M340","OSPAR-HELSINKI-BARCELONA General Guidance on Voluntary Provisional Application of D1 Standard on ballast water exchange by vessels operating between the Mediterranean Sea and the North-East Atlantic and/or the Baltic Sea","Not specified","Habitats Directive (92/43/EEC), c
Water Framework Directive (2000/60/EC), 
Barcelona agreement UNEP/MAP, 
Birds Directive (79/409/EEC)","MSFD34 Non-indigenous species","A.1.2, 
C.1.4, 
0","D2
","Seabed habitats, 
Water column habitats, 
Cephalopods, 
Fish
","Species and Habitats","Beyond MS Marine Waters, 
Territorial waters","Other","International","NOR/SUD/ESAL/LEBA
","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD125","ES","Spain","M341","UNEP/MAP Guidelines for the control of vectors for introduction into the Mediterranean of non-indigenous species and invasive marine species (2008)","Not specified","Water Framework Directive (2000/60/EC), 
Birds Directive (79/409/EEC), 
Habitats Directive (92/43/EEC), Barcelona agreement UNEP/MAP","MSFD34 Non-indigenous species","C.1.4, 
0, 
A.1.2, 
C.3.6","D2
","Fish, 
Seabed habitats, 
Water column habitats, 
Cephalopods","Species and Habitats","Territorial waters, 
Beyond MS Marine Waters","Other","International","ESAL/LEBA
","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD126","ES","Spain","M343","Regulation (EU) 1143/2014 of the European Parliament and of the Council of 22 October 2014 on the prevention and management of the introduction and spread of invasive alien species","Not specified","National policies","MSFD34 Non-indigenous species","0, 
C.1.4, 
A.1.9, 
C.3.6, 
A.1.3, 
A.1.5, 
A.1.2","D2
","Seabed habitats, 
Fish, 
Water column habitats, 
Cephalopods","Species and Habitats","Territorial waters, 
Beyond MS Marine Waters","Other","International","NOR/SUD/ESAL/LEBA/CAN ","MSFD (Directive 2008/56/EC)","not specified",0,0,1,"Ports and traffic",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD127","ES","Spain","M356","Maritime Traffic Separation Devices","Not specified","National policies","MSFD32 Accidental pollution","0, 
B.2.4","D8, D9, D11
","Water column habitats, 
Fish, 
Mammals, 
Reptiles","Species and Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD128","ES","Spain","M357","Limitation of the use of sonar and others
transmitters in those protected areas that check the
existence of cetaceans or when sightings confirm their presence","Not specified","National policies","MSFD28 Energy inputs","0, 
B.1.6","D1, D11
","Mammals
","Species","Territorial waters","Other","National","CAN/","MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD129","ES","Spain","M358","Technical paper on impacts and mitigation of acoustic marine water pollution ","Not specified","National policies","MSFD28 Energy inputs","B.1.9, 0, 
A.1.4, B.3.4","D11,
","Mammals, 
Water column habitats","Species and Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD130","ES","Spain","M360","Improving submarine noise awareness","Not specified","National policies","WFD14 Research and knowledge","B.3.4, 
0","D11,
","Water column habitats, 
Mammals","Species and Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","awareness raising",0,0,1,"Ports and traffic",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD131","ES","Spain","M362","Resolution MEPC.134 (53) – Designation of the Canary Islands as an “Especially Sensitive Marine Zone” (Zona Marina
Especialmente Sensible, ZMES)","Not specified","National policies","MSFD32 Accidental pollution","0, 
B.1.2, 
B.2.3","D1, D8, D9, D11","Mammals, 
Water column habitats, 
Seabed habitats, 
Cephalopods, 
Fish, 
Reptiles","Species and Habitats","Territorial waters","Other","National","CAN/","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD132","ES","Spain","M363","Resolution MEPC.121(52), adopted on 15 October 2004 -Designation of the Western waters of Europe as “Especially Sensitive Marine Zone” (Zona Marina Especialmente Sensible, ZMES)","Not specified","National policies","MSFD32 Accidental pollution","B.2.4, 
B.1.2, 
0","D1, D8, D11
","Reptiles, 
Fish, 
Cephalopods, 
Water column habitats, 
Mammals, 
Seabed habitats","Species and Habitats","Territorial waters","Other","National","NOR/","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD133","ES","Spain","M364","Notifications for navigators","Not specified","International agreement for the Prevention of Pollution from Ships (IMO-MARPOL)","MSFD39 Other measures","0, 
B.2.4, 
B.1.2","D7, D8, D11
","Water column habitats
","Habitats","Territorial waters","Other","National","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","not specified",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD134","ES","Spain","M369","ISO standard 21070: 2013 Ships and
marine technology - Marine environment
protection - Management and handling
of shipboard garbage","Not specified","MARPOL agreement","MSFD29 Litter","B.1.8, 
B.1.2, 
0, 
B.1.7, 
B.1.5, 
B.1.6","D10
","Reptiles, 
Mammals, 
Birds, 
Seabed habitats, 
Water column habitats","Species and Habitats","Beyond MS Marine Waters","Other","International","NOR/SUD/ESAL/LEBA/CAN/","MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD135","ES","Spain","M370","Pilot projects for the installation of clean spots at docks for fishing and recreational navigation ","Not specified","OSPAR agreement","MSFD29 Litter","B.1.9, B.1.5, 
B.1.8, B.1.7, 
C.1.3, B.1.6, 
0","D10,
","Mammals, 
Fish, 
Seabed habitats, 
Reptiles, 
Birds","Species and Habitats","Terrestrial part of MS","Other","National","NOR/LEBA","MSFD (Directive 2008/56/EC)","technical measure",1,0,0,"Ports",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD136","ES","Spain","BM1","Implementation of a fixed charging system in ports similar to that regulated in RDL 2/2011","Not specified","Directive 2000/59 / EC of the European Parliament and Council on port reception facilities in waste generated by ships and cargo residues","MSFD29 Litter","0,
 B.1.5,
 B.1.6","D10","Birds ,
 Mammals ,
 Reptiles ,
 Benthic habitats","Species and Habitats","Territorial Sea ,
 EEZ ,
 Extended continental shelf","Other","International","LEBA","MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD137","ES","Spain","BM5","Promote the installation of clean points in the fishing docks","Not specified","- Directive 2008/98 / EC of the European Parliament and of the Council on waste and repealing certain Directives
- Common Fisheries Policy
- Regulation (EU) No. 508/2014","MSFD29 Litter","0,
 B.1.4,
 B.1.5,
B.1.6,
 B.1.7,
 B.1.8
(CAN: 0, B.1.4,
 B.1.5)","D10","Birds ,
 Mammals ,
 Reptiles ,
 Benthic habitats","Species and Habitats","Territorial Sea ,
 EEZ","Other","National","NOR, SUD, LEBA, ESAL, CAN","MSFD (Directive 2008/56/EC)","technical measure",1,0,0,"Ports",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,"2b","Additional measures 2b"
