"CodeCatalogue","Country","Country","Measure Number","Measure name","Use or activity","Link to existing policies","KTMs it links to","Relevant targets","Descriptors it links to ","Relevant features from MSFD Annex III","Measure Impacts to","Spatial  scope_MSFD","Water body category","Spatial scope","Other (if applicable)","Origin of the measure","Nature of the measure","PORTS","SHIPPING","BOTH","Sector","accident management","administrative","air pollution","anchoring/mooring","awareness raising","ballast waters","construction","dredging","EU policies","hull fouling","international agreements","legislation/regulation","maintenence","marine litter","navigation","NIS","noise","pollution","regional sea convention","PSSA/ZMES","technical measures","waste management","water pollution","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","TEST",1,"1b (not related to WFD)","1b (related to WFD)",2,"2a","2b","unknown","TEST","Status Resume","Status (Text)"
"MSFD11","BE","Belgium","Measure 18B","Prevention of the sailing pollution (especially the tanker ships with a double wall) (as presented in MARPOL)","Not specified","Not specified","Not specified","Not specified ","D8","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","technical measure",0,1,0,"Traffic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD12","BE","Belgium","Measure 18C","Recognising bunkering companies","Not specified","Not specified","Not specified","Not specified ","D8","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD13","BE","Belgium","Measure 19A","Installation of port reception (waste collection MARPOL Annex I and V)","Not specified","Not specified","Not specified","Not specified ","D8, D10","Not specified","Not specified","Not specified ","Not specified ","Not specified ",,"MSFD (Directive 2008/56/EC)","not specified",1,0,0,"Ports",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,"Adopted and Implemented 1a"
"MSFD14","BE","Belgium","Measure 28A","Raising awareness for the prevention of dumping in the case of fishing ship bunkering and yachting in harbours","Not specified","MARPOL, procedures for bunkering/refuelling, harbour regulation and emergency plans in harbours","WFD21, MSFD31","Target_37_D8, Target_41_D8, Target_43_D8","D8","Birds, 
Mammals,
Fish,
Water column habitats,
Seabed habitats","Species and Habitats","Fishing ports and marinas","Other","National",,"MSFD (Directive 2008/56/EC)","awareness raising",1,0,0,"Ports",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD15","BE","Belgium","Measure 28B","Raising awareness about waste management in marinas","Not specified","MARPOL and Directive 2000/59/EC (port reception for ship-generated waste)","WFD21, MSFD29","Target_45_D10, Target_46_D10, Target_47_D10, Target_48_D10","D10","Birds, 
Mammals,
Fish,
Water column habitats,
Seabed habitats","Species and Habitats","Mainly in a 12 nautical miles area","Coastal","National",,"MSFD (Directive 2008/56/EC)","awareness raising",1,0,0,"Ports",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD16","BE","Belgium","Measure 31","Dialogue and raising awareness about the measures taken in sailing in order to limit the sub-marine effects of noise on cetaceans","Not specified","ASCOBANS","MSFD28, MSFD36","Target_50_D11","D11","Mammals","Species","Whole Belgian part of the North Sea, except the wind farm area","Other","National",,"MSFD (Directive 2008/56/EC)","awareness raising",0,1,0,"Traffic",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,"2a","Additional measures 2a"
"MSFD17","BG","Bulgaria","BLKBG-M002-E","Preventive measures against the invasion of alien species in marine waters","Not specified",,"MSFD34 Non-indigenous species","Objective criterion 2.2, indicator 2.2.1","D2",,"Not specified","Coastal waters (WFD),
Territorial waters,
EEZ (or similar) ","Other","National",,"MSFD (Directive 2008/56/EC)","not specified",0,0,1,"Ports and traffic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,"1b","Adopted, not implemented 1b"
"MSFD18","BG","Bulgaria","BLKBG-M012-E","Disposal of dredging material in designated areas in the Black Sea","Not specified",,"MSFD31 Contamination
MSFD38 Spatial protection","7.1.1","D7",,"Not specified","Coastal waters (WFD), 
Territorial waters","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",1,0,0,"Ports",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD19","BG","Bulgaria","BLKBG-M014-E","Providing equipment to remove pollution in port areas of water locally (skimming people were pushing, etc.)","Not specified",,"MSFD31 Contamination
MSFD32 Accidental pollution ","Target 8.1","D8 ",,"Not specified","Coastal waters (WFD)","Coastal","National",,"MSFD (Directive 2008/56/EC)","technical measure",1,0,0,"Ports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
"MSFD20","BG","Bulgaria","BLKBG-M015-E","Control over the activities of transmission and transportation of oily waste","Not specified",,"MSFD31 Contamination
MSFD32 Accidental pollution","Target 8.1","D8 ",,"Not specified","Coastal waters (WFD), 
Territorial waters","Other","National",,"MSFD (Directive 2008/56/EC)","administrative",0,0,1,"Ports and traffic",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"U","not specified"
